Image,Name,String,English,Marathi,Hindi,Malayalam,Bangla,Gujarati,Punjabi,Tamil,Odia,Telugu,Kannada,Assamese,Khasi,Urdu,Manipuri,Konkani,Portuguese (completed in June 25),Manipuri_meitei,Nepali
5,,String 2,What are your risks for COVID-19 if your family member or neighbour have COVID-19?,जर आपल्या कुटुंबातील कोणाला किंवा शेजारच्या घरातील कोणाला कोरोना झाला असल्यास तुम्हालाही लागण होऊ शकते का?,आपको COVID-19 होने की सम्भावना क्या हैं यदि आपके परिवार के सदस्य या पड़ोसी को COVID-19 है?,നിങ്ങളുടെ കുടുംബാംഗത്തിനോ അയൽക്കാരനോ COVID-19 ഉണ്ടെങ്കിൽ COVID-19 നുള്ള നിങ്ങളുടെ അപകടസാധ്യതകൾ എന്താണ്?,,તમારા પરિવાર જણા કે પાડોશી ને કોવિડ-19 થયુ હોય તો તમને શું જોખમ છે?,ਜੇ ਤੁਵਾੜੇ ਪਰਿਵਾਰ ਵਿਚ ਕਿਸੀ ਨੂੰ ਯਾ ਗਵਾਂਢੀ ਨੂੰ ਕੋਵਿਦ-19  ਹੈ ਤੇ ਤੁਵਾਣੁ ਕੋਵਿਦ-19 ਹੋਣ ਦਾ ਕਿੰਨਾ ਖ਼ਤਰਾ ਹੈ?,உங்கள் குடும்ப உறுப்பினர் அல்லது அக்கம்பக்கத்தில் உள்ளவர்களுக்கு கோவிட்-19 நோய் ஏற்பட்டால் உங்களுக்கு ஆபத்து என்ன?,,,,আপোনাৰ পৰিয়ালৰ কোনো সদস্য অথবা প্ৰতিৱেশী ক'ভিড-১৯ৰ দ্বাৰা আক্ৰান্ত হ'লে আপুনি আক্ৰান্ত হোৱাৰ আশংকা কিমান?,,اگر آپ کے خاندان کے ممبر یا پڑوسی کو کوویڈ ١٩ ہے تو کوویڈ ١٩ سے آپ کو کیا خطرات ہیں؟,,"जर तुमच्या घरच्यांक किंव्वा शेजाऱयांक कोविड-१९ जाला, तर तुमका किदें रिस्क आसा?",Quais são os ricos de você ser contaminado pelo Covid-19 se algum membro de sua família ou vizinho está contaminado? ,,
5,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
5,,String 4,,,,,,,,,,,,,,,,,,,
6,22qna_pandemic_stages,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
6,,String 2,What are the different stages of COVID-19 pandemic?,कोविड-१९ महामारीचे वेगवेगळे टप्पे कोणते?,COVID-19 महामारी के विभिन्न चरण क्या हैं?,COVID-19 പകർച്ച വ്യാധിയുടെ വിവിധ ഘട്ടങ്ങൾ ഏതൊക്കെയാണ്?,,કોવિડ-19 મહામારી ના વિભિન્ન ચરણ કયા છે?,ਕੋਵਿਡ-19 ਮਹਾਂਮਾਰੀ ਦੀਆਂ ਅੱਲਗ ਅੱਲਗ ਪੜਾਅ ਕੀ ਹਨ?,கோவிட்-19 பெருந்தொற்ற்றின் பல்வேறு கட்டங்கள் என்னென்ன?,,,,ক'ভিড-১৯ অতিমাৰীৰ বিভিন্ন পৰ্য্যায়বোৰ কি কি?,,کوویڈ ١٩ وبائی مرض کے مختلف مراحل کیا ہیں؟,,कोविड-१९ महामारीचे टप्पे खनचे?,Quais são os diferentes estágios da pandemia do Covid-19? ,,कोभिड-१९ का भिभिन्न चरणहरु केके हुन् ?
6,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
6,,String 4,"Any pandemic goes through 4 levels: (1) No cases, (2) sporadic or imported cases (every COVID positive person must have travelled from an affected region), (3) local transmission (every COVID positive person should have a close contact who travelled from an affected region), and (4) community transmission (transmission cannot be traced).","कोणत्याही महामारीचे ४ टप्पे असतात: (१) एकही रुग्ण नाही, (२) काही रुग्ण (साथ असलेल्या भागातून प्रवास करून आलेले), (३) स्थानिक प्रसारण (प्रत्येक बाधित व्यक्ती साथ असलेल्या भागातून आलेल्या व्यक्तीच्या संपर्कात आली असल्यास), आणि (४) सामुदायिक प्रसारण (यामध्ये कोणापासून आपल्याला बाधा झाली हे ठोसपणे सांगता येऊ शकत नाही).","कोई भी महामारी 4 चरणों से गुजरती है: कोई भी मामला नहीं , छिटपुट या आयातित मामले (प्रत्येक COVID सकारात्मक व्यक्ति ने प्रभावित क्षेत्र से यात्रा करी है ), स्थानीय संचरण (प्रत्येक COVID सकारात्मक व्यक्ति का एक करीबी संपर्क जिसने एक प्रभावित क्षेत्र से यात्रा की है), और समुदाय संचरण (संचरण का पता नहीं लगाया जा सकता)।","ഏതൊരു പകർച്ചവ്യാധിയും 4 തലങ്ങളിലൂടെ കടന്നുപോകുന്നു: (1) കേസുകളൊന്നുമില്ല, (2) ഇടയ്ക്കിടെയുള്ളതോ ഇറക്കുമതി ചെയ്തതോ ആയ കേസുകൾ (ഓരോ COVID പോസിറ്റീവ് വ്യക്തിയും ബാധിത പ്രദേശത്ത് നിന്ന് യാത്ര ചെയ്തിരിക്കണം), (3) പ്രാദേശിക പകർച്ച (ഓരോ COVID പോസിറ്റീവ് വ്യക്തികൾക്കും ഒരു അടുത്ത സമ്പർക്കം ഉണ്ടായിരിക്കണം (4) സാമൂഹിക പകർച്ച (പകർച്ച കണ്ടെത്താൻ കഴിയില്ല).",,"કોઈ પણ મહામારી ના 4 ચરણ હોય છે - કોઈ કેસ નહીં, છૂટાછવાયા કે બાહેર થી આવેલા કેસ (બધા કોવિડ પોઝિટિવ લોકો એવા ક્ષેત્ર થી આવ્યા હશે જે ચેપગ્રસ્ત છે), સ્થાનિક પ્રેષણ (દર કોવિડ પોઝિટિવ માણસ એવા માણસ ના નજીકી સંપર્ક માં આવવો જોઈએ જે ચેપગ્રસ્ત ક્ષેત્ર થી આવ્યો હોય),અને સામાજિક પ્રેષણ (પ્રેષણ ક્યા થી આવ્યુ છે તેનો પત્તો નથી). ","ਕੋਈ ਵੀ ਮਹਾਂਮਾਰੀ 4 ਪੜਾਵਾਂ ਰਾਹੀਂ ਜਾਂਦੀ ਹੈ: (1) ਕੋਈ ਕੇਸ ਨਹੀਂ, (2) ਇੱਧਰ-ਉਧਰ ਕੁਝ ਮਾਮਲੇ ਜਾਂ ਆਯਾਤ ਕੀਤੇ ਮਾਮਲੇ(ਸਾਰੇ ਕੋਵਿਡ ਸੰਕਰਮਿਤ ਲੋਕਾਂ ਨੇ ਪ੍ਰਭਾਵਿਤ ਖੇਤਰ ਦੀ ਯਾਤਰਾ ਕੀਤੀ ਹੈ), (3) ਸਥਾਨਿਕ ਸੰਚਾਰਨ (ਸਾਰੇ ਕੋਵਿਡ ਸੰਕਰਮਿਤ ਕੇਸਾਂ ਦਾ ਸੰਪਰਕ ਪ੍ਰਭਾਵਿਤ ਖੇਤਰ ਤੋਂ ਆਏ ਲੋਕਾਂ ਨਾਲ ਹੋਵੇਗਾ) ਅਤੇ (4) ਸਮਾਜਿਕ ਸੰਚਾਰਨ (ਸੰਚਾਰਨ ਦੇ ਮੁੱਢ ਦਾ ਪਤਾ ਨਹੀਂ ਲਗਾਇਆ ਜਾ ਸਕਦਾ)।","எந்த ஒரு பெருந்தொற்றும் நான்கு கட்டங்களை கொண்டது. 1) நோய்கிருமி தாக்கம் உள்ளவர்கள் இல்லை என்ற நிலை, 2) ஒருசில இறக்குமதியான கிருமி தொற்று மட்டுமே உள்ள நிலை (ஒவ்வொரு நோயாளியும் பாதிக்கபட்ட பகுதிகளிலிருந்து திரும்பியவர்களாக) உள்ள நிலை. 3) உள்ளூர் பரிமாற்ற நிலை (ஒவ்வொரு நோயாளியும் பாதிக்கபட்ட பகுதிகளிலிருந்து திரும்பியவர்களுடன் நெருங்கிய தொடர்பில் இருக்கவேண்டும்) மற்றும் 4) சமூக பரவல் (எல்லா பரவுகளின் தொடர்புகளை இனம் காண முடியாது)",,,,"যিকোনো অতিমাৰীয়েই ৪টা পৰ্য্যায়ত হয়ঃ (১) কোনো লোক আক্ৰান্ত নোহোৱা, (২) অ'ত-ত""ত এজন-দুজন আক্ৰান্ত হোৱা বা বাহিৰৰ পৰা অহা ৰোগী (প্ৰতিজন ক'ভিড-১৯ ৰোগীয়েই কোনো আক্ৰান্ত ঠাইৰ পৰা অহা), (৩) স্থানীয় সংক্ৰমণ (প্ৰতিজন ক'ভিড-১৯ ৰোগীয়েই কোনো আক্ৰান্ত অঞ্চলৰ পৰা অহা আন কোনো ব্যক্তিৰ সংস্পৰ্শলৈ অহা), আৰু (৪) সামাজিক সংক্ৰমণ (সংক্ৰমণৰ উৎস নিৰ্ণয় কৰিব নোৱৰা)।",,کوئی بھی وبائی بیماری چار مراحل سے گزرتی ہے: کوئی کیس نہیں ، تیز اور درآمدی معاملات (ہر کوویڈ مثبت شخص متاثر ہ علاقے سے سفر کیاہوگا) ، مقامی ٹرانسمیشن (ہر کوویڈ مثبت شخص کا قریبی رابطہ ہوا ہوگا جو متاثرہ علاقے سے سفر کیا تھا)۔ ٹرانسمیشن (ٹرانسمیشن کا سراغ نہیں لگایا جاسکتا)۔,,"खंचाय महामारीचे चार टप्पे आसतात - (१) एकुय केस ना, (२) क्वचित केसी, संक्रमित जाग्यातल्यान प्रवास करून आयिल्ल्या लोकांच्यो, (३) लोकल ट्रान्समिशन (संक्रमित जाग्यातल्यान प्रवास करून आयिल्ल्या लोकांच्या संपर्कान आयिल्ले मनीस संक्रमित जातात), (४) कम्युनिटी ट्रान्समिशन (प्रसार कसो जालो तें सोदप कठीण जाता).   ","Qualquer pandemia passa por quatro (4) estágios: 1) Ausência de casos, 2) casos esporádicos ou ""importados"" (todas as pessoas com Covid-19 devem ter viajado, vindo de uma região afetada), 3) transmissão local ( todas as pessoas com Covid-19 tiveram contato com alguém que viajou, vindo de uma região afetada), 4) transmissão comunitária (o contágio não consegue ser rastreado).",,"कुनै पनि महामारी चार चरणमा हुन्छन्। ती हुन्: १) संक्रमण नदेखिएको अवस्था,  २)  छिटपुट वा आयातित संक्रमण (प्रत्येक संक्रमित व्यक्ति संक्रमण भएको कुनै ठाउँबाट आएको हुने), ३) स्थानीय संक्रमण (प्रत्येक कोभिड संक्रमित अन्य संक्रमित क्षेत्रबाट आएको हुने) र ४) सामुदायिक संक्रमण (संक्रमण ट्रेस गर्न नसकिने अवस्था)।"
7,23qna_homemade_masks,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
7,,String 2,How do homemade masks help in preventing COVID-19 infection?,घरगुती मास्क कोविड-१९ पासून आपला बचाव कसा करू शकतात?,COVID-19 संक्रमण को रोकने में घर के बनाये  मास्क कैसे मदद करते हैं?,COVID-19 അണുബാധ തടയുന്നതിന് ഭവനങ്ങളിൽ നിർമിച്ച മാസ്കുകൾ എങ്ങനെ സഹായിക്കും?,,ઘરે બનાવેલા માસ્ક કોવિડ-19 ના ચેપ થી કેવી રીતે રક્ષણ આપી શકે છે?,ਕੋਵਿਡ ਸੰਕਰਮਣ ਨੂੰ ਰੋਕਣ ਵਿੱਚ ਘਰੇ ਬਣਾਏ ਮਾਸਕ ਕਿਵੇਂ ਮੱਦਦ ਕਰਦੇ ਹਨ?,வீட்டிலேயே தயாரிக்கப்பட்ட முகக்கவசம் எப்படி பயன் தரும்?,,,,ঘৰতে তৈয়াৰ কৰা মাস্ক বা মুখাৱৰণে ক'ভিড-১৯ৰ কিদৰে ৰক্ষা কৰে?,,کوویڈ ١٩انفیکشن کو روکنے میں گھر کے بنے ماسک کس طرح مدد کرتے ہیں؟,,घरगुती मास्क कोविड-१९ संक्रमण कशें रोकु शकतात?,Como máscaras caseiras ajudam na prevenção ao contágio pelo Covid-19? ,,घरेलु मास्क अर्थात् कपडाको मास्कले कसरी कोभिड-१९ को संक्रमणलाई रोक्न कसरी सहयोग गर्छ?
7,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
7,,String 4,"Properly worn simple cloth face masks that cover the nose and mouth can filter out and absorb a majority of large drops emitted when a person coughs, sneezes or talks. This reduces the spread of the novel coronavirus. After use, masks should be washed with soap and water.","घरगुती मास्क नाक आणि तोंड पूर्णपणे झाकलं जाईल असं वापरायला हवे. शिंकताना, खोकताना किंवा बोलताना नाका-तोंडातून बाहेर पडणारे थेंब हे मास्कमुळे रोखले जाऊ शकतात व कोरोना चा प्रसार कमी करता येऊ शकतो. प्रत्येक वापरानंतर मास्क साबण व पाण्याने नीट धुतले पाहिजे ","उचित रूप से पहने हुए साधारण कपड़े के चेहरे वाले मास्क जो नाक और मुंह को ढंकते हैं, किसी व्यक्ति के खांसने, छींकने या बातचीत करने पर निकलने वाली बड़ी बूंदों को अवशोषित कर सकते हैं। यह नॉवेल कोरोनावायरस के प्रसार को कम करता है। उपयोग के बाद, मास्क को साबुन और पानी से धोया जाना चाहिए।","മൂക്കും വായയും മൂടുന്ന ശരിയായി ധരിക്കുന്ന ലളിതമായ തുണി മാസ്ക്കുകൾക്ക് ഒരു വ്യക്തി ചുമയ്ക്കുമ്പോളോ തുമ്മുമ്പോളോ സംസാരിക്കുമ്പോളോ പുറപ്പെടുവിക്കുന്ന വലിയ തുള്ളികളിൽ ഭൂരിഭാഗവും ഫിൽട്ടർ ചെയ്യാനും ആഗിരണം ചെയ്യാനും കഴിയും. നോവൽ കൊറോണ വൈറസിന്റെ വ്യാപനം ഇത് കുറയ്ക്കുന്നു. ഉപയോഗത്തിനുശേഷം, മാസ്കുകൾ സോപ്പും വെള്ളവും ഉപയോഗിച്ച് കഴുകണം.",,"ઘરેે બનાવેલા સરળ કપડા ના માસ્ક ને સરખી રીતે નાક અને મોઢા ને બરાબર ઢાંકી રાખવાથી માસ્ક વધારે પડતા મોટા ટીપા ને નીતરી અને ચૂસી શકે છે જે વ્યક્તિ ના ખાંસવા, છીંકવા કે બોલવાતી બાહેર નીકળે છે. આના થી નાૅવલ કોરોનાવાયરસ નો ફેલાવ ખટે છે. વાપર્યા પછી માસ્ક ને સાબુ અને પાણી થી ધોવુ જરૂરી છે. ","ਚੰਗੀ ਤਰ੍ਹਾ ਪਾਏ ਕੱਪੜੇ ਦੇ ਮਾਸਕ ਨੱਕ ਤੇ ਮੁਹ ਨੂੰ ਢੱਕ ਦਿੰਦੇ ਹਨ ਅਤੇ ਖੰਘਣ, ਛਿੱਕਣ ਜਾਂ ਗੱਲਬਾਤ ਕਰਨ ਦੌਰਾਨ ਨਿਕਲਣ ਵਾਲੀਆਂ ਬੂੰਦਾਂ ਨੂੰ ਸੋਕ ਸਕਦੇ ਹਨ। ਇਹ ਨਾਵਲ ਕੋਰੋਨਾਵਾਇਰਸ ਦੇ ਸੰਕਰਮਣ ਨੂੰ ਘੱਟ ਕਰ ਦਿੰਦਾ ਹੈ।",இருமல் தும்மல் மற்றும் பேசும்போதும் வெளிப்படும் பெரிய திரவத்துளிகளை முறையாக அணிந்துக்கொண்டால் - துணியால் செய்யப்பட்ட முககவசம் தடுத்துவிடும். நாவல் கொரோனா வைரஸ் பரவலை இது மட்டுப்படுத்தும். சோப்பு மற்றும் நீர் கொண்டு பயன்படுத்திய துணி முக கவசத்தை நன்றாக கழுவவேண்டும்.,,,,নাক আৰু মুখ ভালকৈ ঢাকিব পৰা সাধাৰণ কাপোৰৰ মাস্কে কোনো এজন ব্যক্তিয়ে কাহ বা হাঁচি মৰা অথবা কথা কোৱাৰ সময়ত ওলোৱা ডাঙৰ কণিকাবোৰ ধৰি ৰাখিব পাৰে। ই নতুন কৰ'না ভাইৰাছটোৰ সংক্ৰমণ হ্ৰাস কৰিব পাৰে। ব্যৱহাৰৰ পাছত মাস্কবোৰ চাবোন আৰু পানীৰে ধুই পেলাব লাগে।,,مناسب طریقے سے پہنا ہوا سادہ کپڑا کا چہرے کا ماسک جو ناک اور منہ کو ڈھانپتا ہے۔ یہ ماسک جب کوئی کھانستا ، چھینکتا یا باتیں کرتا ہے تو خارج ہونے والے بڑے قطروں کی اکثریت کو فلٹر اور جذب کرسکتے ہیں۔ اس سے ناول کورونا وائرس کا پھیلاؤ کم ہوتا ہے۔ استعمال کے بعد ، ماسک کو صابن اور پانی سے دھونا چا ہئے۔,,"जेन्ना एक मनीस शिकता, खांकता किंव्वा उलयता, तेन्ना सारखें घाल्लें सादें (नाक आनी तोंड धापणारें) घरगुती मास्क चडशे व्हड थेंबे शोषून घेता. ह्याखातीर कोरोनाविष्णूचो प्रसार कमी जाता. वापरून जातकीच मात मास्क उदक आनी साबण वापरून धुवुंक जाय.","Máscaras faciais simples, feitas de pano e usadas adequadamente, cobrindo nariz e boca, podem filtrar e absorver a maior parte das gotículas maiores emitidas quando uma pessoa fala, tosse ou espirra. Isso reduz o espalhamento do Covid-19. Após o uso, as máscaras devem ser lavadas com água e sabão. ",,"यदि कपडाको मास्क लगाउँदा राम्रोसंग नाक र मुख छोपिने गरि लगाएका अगि भएको व्यक्तिले खोक्दा, हांछ्यु गर्दा वा बोल्दा निस्कने छिटाहरुलाई कोदने तथा सोस्ने काम गर्दछ। जसले गर्दा नोवेल कोरोना भाईरसको फैलावटलाई काम गर्छ। यस्ता मास्क प्रयोग भैसकेपछि राम्रोसंग साबुन पानीले धुनुपर्छ।"
8,24qna_tracing_app,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி :,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,প্ৰশ্নঃ,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
8,,String 2,How do COVID-19 contact tracing apps work?,मोबाईल मधील कॉन्टॅक्ट ट्रेसिंग ऍप कसं काम करतं?,,,,,ਕੋਵਿਡ-19 ਦੀ ਕੰਟੈਟ ਟਰੇਸਿੰਗ ਐੱਪਸ ਕਿਵੈਂ ਕਾਮ ਕਰਦਿਆਂ ਨੇ?,COVID-19 தொடர்பு தடமறிதல் செயலிகள் எவ்வாறு செயல்படுகின்றன?,,,,,,,,कोविड-१९ कॉन्टाक्ट ट्रेसिंग ऍप कशीं काम करतात?,Como os aplicativos de rastreamento do contato do Covid-19 funcionam? ,,कोभिड-१९ कन्ट्याक्ट ट्रेसिङ्ग एपहरुले कसरी काम गर्छन्? 
8,,String 3,Answer:,उत्तर:,उत्तर:,ഉത്തരം ,উত্তর:,જવાબ:,ਉੱਤਰ:,பதில்:,ଉତ୍ତର,జవాబు,ಉತ್ತರ:,উত্তৰঃ,Jubab:,جواب,পাউখুম:,उत्तर :,Resposta: ,pAaoKuM -,उत्तर :
8,,String 4,"A contact tracing app on a smartphone works by ""talking to"" (i.e., sending and receiving signals) to nearby smartphones that also have the app (using technologies like bluetooth). Logs of these ‘talks’ may be stored in the app server. If a user tests positive for COVID-19, then all phones that talked to the user’s phone can be traced and users may be alerted.",कॉन्टॅक्ट ट्रेसिंग ऍप हे जवळपास असणाऱ्या मोबाईलशी (ब्लूटूथ सारख्या तंत्रज्ञानाच्या साहाय्याने) संवाद साधू शकतं. त्यासाठी समोरच्या व्यक्तीकडे सुद्धा ते ऍप असणं गरजेचं आहे. हे सर्व संवाद एका ठिकाणी संग्रहित केले जातात. जर एखाद्या वापरकर्त्याला कोविड-१९ ची लागण झाली तर ती व्यक्ती ज्या ज्या व्यक्तींच्या संपर्कात आली असेल त्यांना सतर्क केले जाते.,"स्मार्टफोन पर एक संपर्क ट्रेसिंग ऐप ब्लूटूथ जैसी तकनीकों का उपयोग करके सिग्नल भेज के  और प्राप्त करके  के स्मार्टफ़ोन के लिए काम करता है। मगर इसके  लिए सामने वाले ले पास भी ये ऐप होना जरूरी है। इन 'वार्ता' के लॉग को ऐप सर्वर में संग्रहीत किया जा सकता है। यदि कोई उपयोगकर्ता COVID-19 के लिए सकारात्मक परीक्षण करता है, तो उपयोगकर्ता के फोन से बात करने वाले सभी फोन का पता लगाया जा सकता है और उपयोगकर्ताओं को सतर्क किया जा सकता है।",,,"સ્માર્ટફોન પર કોન્ટેક્ટ ટ્રેસીંગ એપ નજીક ના સ્માર્ટફોન (જેમા પણ આ એપ છે) ની સાથે બલ્યુટૂથ જેવી ટેકનોલોજી દ્વારા ""વાત કરીને"" (એટલે કે સિગનલ મોકલી અને પ્રાપ્ત કરી) કામ કરે છે. આ ""વાતચીત"" ના લાૅગ એપ ના સર્વર પર બચાવી ને રાખી શકાય છે. કોઈ એપ વાપરનાર કોવિડ-19 માટે પોઝિટિવ આવે, તો વાપરનાર ના ફોન એ જે બધા ફોન સાથે ""વાત"" કરી હતી તેમનો પત્તો લગાડી આ બધા વાપરનારો ને સાવચેતી આપી શકાય છે. ","
ਸਮਾਰਟਫੋਨ 'ਤੇ ਇਕ ਸੰਪਰਕ ਟਰੇਸਿੰਗ ਐਪ ਨੇੜਲੇ ਸਮਾਰਟਫੋਨਾਂ ਲਈ ""ਗੱਲ ਕਰ ਕੇ"" (ਅਰਥਾਤ, ਸੰਕੇਤਾਂ ਨੂੰ ਭੇਜਣਾ ਅਤੇ ਪ੍ਰਾਪਤ ਕਰਨਾ) ਨਾਲ ਕੰਮ ਕਰਦਾ ਹੈ ਜਿਸ ਵਿੱਚ ਐਪ ਵੀ ਹੈ ( ਬਲੂਟੂਥ ਵਰਗੀਆਂ ਟੈਕਨਾਲੌਜੀ ਦੀ ਵਰਤੋਂ ਕਰਦਿਆਂ)। ਇਹ ‘ਗੱਲਬਾਤ’ ਦੇ ਲੌਗ ਐਪ ਸਰਵਰ ਵਿੱਚ ਸਟੋਰ ਕੀਤੇ ਜਾ ਸਕਦੇ ਹਨ। ਜੇ ਕੋਈ ਉਪਭੋਗਤਾ ਕੋਵਿਡ-19 ਲਈ ਸਕਾਰਾਤਮਕ ਟੈਸਟ ਕਰਦਾ ਹੈ, ਤਾਂ ਉਹ ਸਾਰੇ ਫੋਨ ਜੋ ਉਪਭੋਗਤਾ ਦੇ ਫੋਨ ਨਾਲ ਗੱਲ ਕਰਦੇ ਹਨ ਉਹਨਾਂ ਦਾ ਪਤਾ ਲਗਾਇਆ ਜਾ ਸਕਦਾ ਹੈ ਅਤੇ ਉਪਭੋਗਤਾਵਾਂ ਨੂੰ ਚੇਤਾਵਨੀ ਦਿੱਤੀ ਜਾ ਸਕਦੀ ਹੈ।",அதே செயலியை தரவிறக்கம் செய்த அருகில் உள்ள ஸ்மார்ட்போன் கைபேசிகளுடன் (பளுடூத் போன்ற தொழில்நுட்பத்தை பயன்படுத்தி) தொடர்பு ஏற்படுத்தி ( (சமிக்கைகளை பரிமாறிக்கொண்டு) பேசி தொடர்பை கண்டறியும் செயலிகள் செயல்படுகின்றன. சர்வர் எனப்படும் வழங்கிகளில் இந்த செய்திபரிமாற்ற பதிகைகள் சேமிக்கப்படும். குறிப்பிட்ட பயனர் நோய்கிருமி உள்ளவர் என கண்டறியப்பட்டால் அவரின் கைபேசியோடு நெருக்கமாக வந்த கைபேசிகள் இனம் காணப்பட்டு அந்த பயனாளிகளுக்கு விழிப்புசெய்தி தரப்படும்.,,,,"সংযোগ চিহ্নিত কৰিব পৰা স্মাৰ্টফোনৰ এপ্‌বোৰে (ব্লুটুথৰ দৰে প্ৰযুক্তি ব্যৱহাৰ কৰি) ওচৰৰ একে ধৰণৰ এপ্‌ সন্নিৱিষ্ট আন স্মাৰ্টফোনৰ সৈতে ""কথা পাতি"" (অৰ্থাৎ সংকেতৰ লেন-দেন কৰি) তাৰ কাম কৰে। এনে সংকেতবোৰ এপ্‌ চাৰ্ভাৰত সংৰক্ষিত কৰি ৰাখিব পাৰি। সদি এজন ব্যৱহাৰকাৰী ক'ভিড-১৯ৰ দ্বাৰা আক্ৰান্ত বুলি নিৰ্ণিত হয়, তেন্তে তেওঁৰ ফোনৰ সৈতে সংযোজিত হোৱা সকলো ফোন চিনাক্ত কৰি উলিয়াব পাৰি আৰু সংশ্লিষ্ট ব্যৱহাৰকাৰীসকলক সতৰ্ক কৰি দিব পাৰি।",,"اسمارٹ فون پر ایک رابطے کا پتہ لگانے والا ایپ جو ""بات چیت"" (یعنی سگنل بھیجنے اور وصول کرنے) کے ذریعہ قریبی اسمارٹ فون جس میں یہی ایپ موجود ہے (بلوٹوتھ جیسی ٹکنالوجی کا استعمال کرتے ہوئے) کام کرتا ہے۔ ایپ سرور میں ان ’’ بات چیت ‘‘ کاذخیرہ ہوسکتا ہے۔ اگر کسی صارف کی کوویڈ ١٩ کی جانچ مثبت ہے تو پھر ، ان تمام فونز کا سراغ لگایا جاسکتا ہے جنہوں نے صارف کے فون پر بات کی تھی اور صارفین کو الرٹ کیا جاسکتا ہے۔",,"कॉन्टाक्ट ट्रेसिंग ऍप आशिल्ले फोन लागीं-लागीं आयले की ब्ल्यूटूथ सारख्या तंत्रज्ञानाच्या मदतीन सिग्नलमार्फत एकमेकांकडें 'उलवु' शकतात. हे संवाद एकीकडें साठयिल्ले आसतात. अशें ऍप फोनान आशिल्लो मनीस जर का कोविड-१९ पॉसिटीव्ह जालो, तर साठयिल्ल्या संवादामार्फत त्या मनशाच्या संपर्कान आयिल्ल्या लोकांक सतर्क करूंक मेळटा. ","Um aplicativo de rastreio de contato em um smartfone funciona por ""contatos""(i.e., enviando e recebendo sinais) de smartfones próximos que também tem o aplicativo (usando tecnologias como o bluetooth). Registros desses ""contatos"" podem ser armazenados no servidor do aplicativo. Se um usuário testa positivo para o Covid-19, todos os smartfones que contactaram o smartfone da pessoa infectada podem ser rastreados e seus usuários, alertados. ",,स्मार्ट फोनमा भएको कन्ट्याक्ट ट्रेसिङ्ग एप्ले फोनमा भएको 'टकिंग टू' ( अर्थात् तरङ्ग लिने/दिने) फिचर मार्फत नजिकैको स्मार्टफोनसंग उक्त फोनमा भएको ब्लुटुथ  जस्ता प्रबिधिमार्फत सम्पर्क गर्छ। यसरी गरिएको सम्पर्कको जानकारी उक्त एपको सर्भरमा भण्डारण हुन सक्छ। यदि कुनै व्यक्तिमा कोभिड-१९ को संक्रमण देखिएमा उक्त व्यक्तिको फोनमा सम्पर्कमा आएका सबै फोन ट्रेस गर्न सकिन्छ र ती प्रयोगकर्ताहरुलाई साबधानीमुलक सूचना पठाउन सकिन्छ।
9,25qna_vaccine_strains,String 1,Question:,प्रश्न:,प्रश्न:,ചോദ്യം ,প্রশ্ন:,સવાલ,ਪ੍ਰਸ਼ਨ:,கேள்வி:,ପ୍ରଶ୍ନ,ప్రశ్న,ಪ್ರಶ್ನೆ :,,Jingkylli:,سوال,ৱাহং: ,प्रश्न :,Pergunta: ,wAhq -,प्रश्न: 
